Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK,xG,xA,xG+xA,npxG,npxG+xA
298,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,25-329,1995,27,27,2384,26.5,0,0.19,0.19,0,0.19,0.04,0.14,0.17,0.04,0.17
299,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,33-270,1987,31,26,2103,23.4,0.43,0.13,0.56,0.43,0.56,0.32,0.15,0.46,0.28,0.43
300,Luisinho\Luisinho,pt POR,DF,Huesca,35-349,1985,5,2,179,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01
301,Luismi\Luismi,es ESP,MFDF,Elche,28-349,1992,9,2,154,1.7,0,0,0,0,0,0,0,0,0,0
302,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,28-071,1993,24,16,1565,17.4,0.12,0.23,0.35,0.12,0.35,0.22,0.19,0.41,0.18,0.37
303,Pablo Maffeo\Pablo-Maffeo,es ESP,DF,Huesca,23-281,1997,20,20,1619,18,0.06,0.22,0.28,0.06,0.28,0.04,0.1,0.13,0.04,0.13
304,Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,20-350,2000,2,1,66,0.7,0,0,0,0,0,0,0.02,0.02,0,0.02
305,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,26-083,1995,28,27,2156,24,0.04,0,0.04,0.04,0.04,0.07,0.03,0.09,0.07,0.09
306,Filip Malbašić\Filip-Malbasic,rs SRB,FWMF,Cádiz,28-152,1992,23,5,577,6.4,0,0.16,0.16,0,0.16,0.08,0,0.08,0.08,0.08
307,Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,29-301,1991,27,27,2430,27,0.07,0.04,0.11,0.07,0.11,0.06,0.08,0.14,0.06,0.14
308,Mickael Malsa\Mickael-Malsa,mq MTQ,MF,Levante,25-189,1995,29,20,1869,20.8,0.05,0,0.05,0.05,0.05,0.05,0.02,0.07,0.05,0.07
309,Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,29-179,1991,25,24,2122,23.6,0.13,0.04,0.17,0.13,0.17,0.1,0,0.11,0.1,0.11
310,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Valencia,30-065,1991,5,4,313,3.5,0,0,0,0,0,0.15,0,0.15,0.15,0.15
311,Maranhão\Maranhao,br BRA,FW,Valladolid,24-181,1996,15,8,853,9.5,0.32,0,0.32,0.32,0.32,0.24,0.01,0.25,0.24,0.25
312,Marcelo\Marcelo,br BRA,DF,Real Madrid,32-342,1988,11,9,803,8.9,0,0.22,0.22,0,0.22,0.04,0.07,0.11,0.04,0.11
313,Iván Marcone\Ivan-Marcone,ar ARG,MF,Elche,30-320,1990,26,26,2223,24.7,0,0,0,0,0,0,0.02,0.02,0,0.02
314,Óscar de Marcos\Oscar-de-Marcos,es ESP,DFMF,Athletic Club,32-005,1989,18,11,994,11,0.09,0.18,0.27,0.09,0.27,0.12,0.14,0.25,0.12,0.25
315,José Mari\Jose-Mari,es ESP,MF,Cádiz,33-134,1987,16,13,1064,11.8,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05
316,José María Giménez\Jose-Maria-Gimenez,uy URU,DF,Atlético Madrid,26-089,1995,18,17,1504,16.7,0,0,0,0,0,0.04,0.01,0.06,0.04,0.06
317,Mariano\Mariano,do DOM,FW,Real Madrid,27-261,1993,13,5,459,5.1,0.2,0,0.2,0.2,0.2,0.28,0.03,0.31,0.28,0.31
318,Adrián Marín\Adrian-Marin,es ESP,DF,Granada,24-100,1997,5,2,170,1.9,0,0,0,0,0,0,0,0,0,0
319,Adrián Marín\Adrian-Marin,es ESP,DFMF,Alavés,24-100,1997,5,1,93,1,0,0,0,0,0,0.07,0.52,0.58,0.07,0.58
320,Roger Martí\Roger-Marti,es ESP,FW,Levante,30-106,1991,27,22,1833,20.4,0.54,0.1,0.64,0.44,0.54,0.39,0.1,0.49,0.23,0.33
321,Aarón Martín\Aaron-Martin,es ESP,DF,Celta Vigo,23-362,1997,12,12,1065,11.8,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
322,Álex Martín\Alex-Martin,es ESP,DF,Cádiz,23-084,1998,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0
323,Iñigo Martínez\Inigo-Martinez,es ESP,DF,Athletic Club,29-337,1991,23,23,2069,23,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06
324,Javi Martínez\Javi-Martinez,es ESP,MFFW,Osasuna,21-118,1999,9,3,250,2.8,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
325,Marvin\Marvin,es ESP,DFFW,Real Madrid,20-290,2000,3,1,88,1,0,0,0,0,0,0,0.02,0.02,0,0.02
326,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,32-106,1989,20,20,1800,20,0,0,0,0,0,0,0,0,0,0
327,Jaime Mata\Jaime-Mata,es ESP,FW,Getafe,32-177,1988,27,20,1664,18.5,0.27,0,0.27,0.22,0.22,0.35,0.05,0.4,0.26,0.31
328,Borja Mayoral\Borja-Mayoral,es ESP,FW,Real Madrid,24-014,1997,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0
329,Gonzalo Melero\Gonzalo-Melero,es ESP,MFFW,Levante,27-107,1994,22,15,1331,14.8,0.27,0.07,0.34,0.27,0.34,0.15,0.11,0.26,0.15,0.26
330,Brais Méndez\Brais-Mendez,es ESP,MFFW,Celta Vigo,24-102,1997,27,23,2093,23.3,0.26,0,0.26,0.26,0.26,0.25,0.06,0.31,0.25,0.31
331,Édgar Méndez\Edgar-Mendez,es ESP,MFFW,Alavés,31-107,1990,27,22,1759,19.5,0.2,0.05,0.26,0.2,0.26,0.18,0.05,0.24,0.18,0.24
332,Eñaut Mendía\Enaut-Mendia,es ESP,FW,Eibar,21-298,1999,1,1,61,0.7,0,0,0,0,0,0.02,0,0.02,0.02,0.02
333,Ferland Mendy\Ferland-Mendy,fr FRA,DF,Real Madrid,25-315,1995,26,24,2208,24.5,0.04,0,0.04,0.04,0.04,0.02,0.07,0.09,0.02,0.09
334,Mikel Merino\Mikel-Merino,es ESP,MF,Real Sociedad,24-301,1996,26,25,2154,23.9,0.08,0.17,0.25,0.08,0.25,0.16,0.09,0.24,0.16,0.24
335,Martín Merquelanz\Martin-Merquelanz,es ESP,FWMF,Real Sociedad,25-311,1995,11,4,521,5.8,0,0,0,0,0,0.18,0.24,0.42,0.18,0.42
336,Roque Mesa\Roque-Mesa,es ESP,MF,Valladolid,31-316,1989,18,16,1350,15,0.07,0,0.07,0,0,0.09,0.07,0.16,0.04,0.11
337,Lionel Messi\Lionel-Messi,ar ARG,FWMF,Barcelona,33-299,1987,28,26,2393,26.6,0.87,0.3,1.17,0.75,1.05,0.72,0.35,1.07,0.6,0.94
